fico_band,"LGD=10% (Basel floor, para 266)",LGD=15%,LGD=20% (base),LGD=25%
<620 (subprime),0.771,1.157,1.543,1.928
620–659 (near-prime),0.644,0.966,1.288,1.609
660–719 (prime),0.426,0.639,0.852,1.065
720–759 (prime+),0.275,0.413,0.55,0.688
760+ (super-prime),0.172,0.258,0.344,0.43
