fico_band,loans,mean_pd,mean_irb_rw,mean_sa_rw,mean_ratio,median_ratio,std_ratio,n_binds,bind_rate_pct,mean_pd_pct,mean_irb_rw_pct,mean_sa_rw_pct
<620 (subprime),2723,0.15357152538641458,0.41144470194289506,0.27115313991920675,1.5427421541213957,1.505882211334911,0.4065715650094738,23,0.8446566287183254,15.357152538641458,41.144470194289504,27.115313991920676
620–659 (near-prime),158929,0.13942092872083736,0.3854237440011349,0.31051853343316826,1.2875667147409624,1.2674554943668495,0.3674772308123047,7950,5.002233701841703,13.942092872083736,38.54237440011349,31.051853343316825
660–719 (prime),975271,0.08757710947348972,0.27833256026052605,0.33953588284692154,0.8516449530195426,0.8124042761838014,0.30355783656427215,372490,38.193486733431016,8.757710947348972,27.833256026052606,33.95358828469215
720–759 (prime+),1163071,0.048486309995546026,0.1850700479966805,0.3472872249415556,0.5502989114246989,0.5186450362283753,0.20904281989101794,940014,80.82172111590779,4.848630999554603,18.50700479966805,34.72872249415556
760+ (super-prime),2164311,0.023571170446475793,0.10906048595831119,0.3236994590888278,0.34432027067903903,0.3166286065448559,0.1360441238678015,2130448,98.4353912168815,2.357117044647579,10.90604859583112,32.369945908882784
